object_id,Title,Date,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
34509,General Plan (Zaleszczyk),с. 1855,Austrian_War_Archive,Austrian War Archive,Zalishchyky,Zalishchyky,,Headquarters of the Imperial and Royal 4 Army,https://uma.lvivcenter.org/en/maps/34509
34510,City of Tarnopol. Situational-Contour Map,c. 1938,Ryszard_Hubisz,Ryszard Hubisz,Ternopil,"Tarnopol, Ternopil",Ryszard Hubisz,Municipality. Ternopil,https://uma.lvivcenter.org/en/maps/34510
34511,Map of the Village of Janow,1850,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Ivano-Frankove,Janów,,Author Solowy Johann,https://uma.lvivcenter.org/en/maps/34511
34512,Plan of Lwów from 18 century till 1775,1858,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lemberg, Lwów, Lviv",,Gazeta Lwowska. Lviv,https://uma.lvivcenter.org/en/maps/34512
34513,Plan of Lwów,1922,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwów, Lviv",,Atlas. Lviv,https://uma.lvivcenter.org/en/maps/34513
34515,Map of the City of Lodz,c. 1923,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lodz,Lodz,,A. Ostrowski. Lodz - Warszaw,https://uma.lvivcenter.org/en/maps/34515
34516,Map of Greater Warsaw,c. 1923,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Warsaw,"Warsaw, Warszawa",,HAWU. Warsaw,https://uma.lvivcenter.org/en/maps/34516
34517,New map of Krakow,1914,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Kraków,"Cracow, Krakow, Kraków, Krakau, Cracovie",,B. Poloniecki's Polish Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34517
34518,Plan of Lublin,1926,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lublin,Lublin,,A. Rembowski litography and Printing house,https://uma.lvivcenter.org/en/maps/34518
34519,Kaunas,1984,10_pict,Ihor Kotlobulatov,Kaunas,Kaunas,,The Main Office of Geodesy and Cartography. Moskow,https://uma.lvivcenter.org/en/maps/34519
34520,Plan of Lviv,1931,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv",,Ksiaznica-Atlas. Lviv-Warszawa,https://uma.lvivcenter.org/en/maps/34520
34521,Map of the city of Stanislawow and Knihinin,1919,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Ivano-Frankivsk,"Stanislawow, Stanislawiw, Ivano-Frankivsk, Knihininów, Knihinow",,Невідомий,https://uma.lvivcenter.org/en/maps/34521
34522,Vilnius. Tourist map,1975,10_pict,Ihor Kotlobulatov,Vilnius,Vilnius,,Main Department of Geodesy and Cartography under the Council of Ministers of the USSR. Moscow,https://uma.lvivcenter.org/en/maps/34522
34523,Map of the City of Katowice and Environs,1924,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Katowice,Katowice,,Ludwik Fiszer's Bookstore. Katowice-Łódź,https://uma.lvivcenter.org/en/maps/34523
34525,Plan of Lwów. Fourth Edition,1927,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv, Lemberg",,Ksiaznica-Atlas. Lviv-Warszawa,https://uma.lvivcenter.org/en/maps/34525
34526,Map of the City of Warsaw with Building Numbers,1916,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Warsaw,"Warsaw, Warszawa",,A. Holzmann. Lodz,https://uma.lvivcenter.org/en/maps/34526
34527,Map of Greater Lublin,1931,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lublin,Lublin,,Polish Local Lore Society. Lublin Division,https://uma.lvivcenter.org/en/maps/34527
34528,Plan of Lviv,1928,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv, Lemberg",,Ksiaznica-Atlas. Lviv-Warszawa,https://uma.lvivcenter.org/en/maps/34528
34529,Plan of Lychakiv Cemetery,1924,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lviv, Lwów",,Technical Department. Lviv,https://uma.lvivcenter.org/en/maps/34529
34530,Map of the City of Poznan,c. 1920,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Poznan,"Poznan, Poznań",,Atlas. Lviv,https://uma.lvivcenter.org/en/maps/34530
34534,Plan of Leopoliensis,1635,TsDIAL_of_Ukraine,Central State Historical Archives of Ukraine in Lviv. (TsDIAL of Ukraine),Lviv,"Lwow, Lviv, Lemberg",,Author Fridericum Getkant,https://uma.lvivcenter.org/en/maps/34534
34535,"Plan of the city, castles and city suburbs",1766,TsDIAL_of_Ukraine,Central State Historical Archives of Ukraine in Lviv. (TsDIAL of Ukraine),Lviv,"Lviv, Lwow, Lemberg, Leopol",,Jean Ignace du Desfilles,https://uma.lvivcenter.org/en/maps/34535
34536,Plan of Lwów,1911,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv",,B. Poloniecki's Polish Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34536
34537,Lviv - Lwow - Leopol,1915,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv, Leopol",,Bookstore of Gubrinowicz and Son. Lviv,https://uma.lvivcenter.org/en/maps/34537
34538,Map of the City of Poznan,1929,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Poznan,Poznan,,Ksiaznica-Atlas. Lviv-Warsaw,https://uma.lvivcenter.org/en/maps/34538
34539,Map of the City of Vilnius,1928,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Vilnius,"Vilnius, Vilno, Wilno",,Printing House and Bookstore of Jozef Zawadski. Vilnius,https://uma.lvivcenter.org/en/maps/34539
34540,Map of the City of Inowroclaw,1930,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Inowroclaw,Inowroclaw,,"Graphical Establishments ""Polish Library"". Bydgoszcz",https://uma.lvivcenter.org/en/maps/34540
34541,Plan of Lemberg with the new street names,1873,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv, Leopol, Lemberg",,Bookstore of R. H. Richter. Lviv,https://uma.lvivcenter.org/en/maps/34541
34542,Situation Plan of Kastelіvka,с. 1889,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lwow, Lviv, Leopol, Kastelіvka",,Unknown,https://uma.lvivcenter.org/en/maps/34542
34543,Plan of the Capital City of Warsaw,1924,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Warsaw,Warsaw,,Military Institute of Geography. Warsaw,https://uma.lvivcenter.org/en/maps/34543
34544,Tourist Map of the Capital City of Warsaw,1934,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Warsaw,Warsaw,,Tourist Propaganda Union. Warsaw,https://uma.lvivcenter.org/en/maps/34544
34545,Map of the Capital City of Warsaw,1934,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Warsaw,Warsaw,,Samopomoc Inwalidzka Sp. Z.o.o. Warsaw,https://uma.lvivcenter.org/en/maps/34545
34546,Plan of the Capital City of Poznan,1933,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Poznan,Poznan,,Lithographic establishment of Catholic printing house. Poznan,https://uma.lvivcenter.org/en/maps/34546
34547,Map of the Capital City of Warsaw,1938,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Warsaw,Warsaw,,Ksiaznica-Atlas. Lviv-Warsaw,https://uma.lvivcenter.org/en/maps/34547
34549,Map of the Royal Capital City of Lviv,1907,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Lviv,"Lviv, Lwow, Lemberg",,Bernard Poloniecki's Polish Bookstore. Lviv,https://uma.lvivcenter.org/en/maps/34549
34550,Map of Greater Katowice,1938,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Katowice,Katowice,,Antoni Zborowski,https://uma.lvivcenter.org/en/maps/34550
34551,New plan of Budapest,1908,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Budapest,Budapest,,Barta Lajos,https://uma.lvivcenter.org/en/maps/34551
34552,Map of the City of Bydgoszcz,1927,Science_Library_of_LNU,Science Library of the Ivan Franko National University of Lviv,Bydgoszcz,Bydgoszcz,,"Graphical Establishments ""Polish Library"". Bydgoszcz",https://uma.lvivcenter.org/en/maps/34552
